fixTestTime,calibError,lpogx,lpogy,rpogx,rpogy,smoothpogx,smoothpogy,bestpogx,bestpogy,fixpx,fixpy,fixdur,fixstatus
828.999999910593,40,907.6895141601562,362.7029113769531,994.9120483398438,361.64361572265625,874.0593302408854,362.9472595214844,938.1390991210938,362.0722351074219,938.1390991210938,362.0722351074219,433,fixation
841.2250000983477,40,907.6895141601562,362.7029113769531,994.9120483398438,361.64361572265625,874.0593302408854,362.9472595214844,938.1390991210938,362.0722351074219,938.1390991210938,362.0722351074219,433,fixation
865.8750001341105,40,923.6377563476562,362.4388732910156,1008.603759765625,361.6701354980469,874.0593302408854,362.9472595214844,937.6608276367188,362.0808410644531,937.6608276367188,362.0808410644531,467,fixation
894.1300008445978,40,933.7029418945312,362.1812438964844,1009.310302734375,361.72821044921875,874.0593302408854,362.9472595214844,937.8764038085938,362.0843505859375,937.8764038085938,362.0843505859375,500,fixation
907.3600005358458,40,933.7029418945312,362.1812438964844,1009.310302734375,361.72821044921875,874.0593302408854,362.9472595214844,937.8764038085938,362.0843505859375,937.8764038085938,362.0843505859375,500,fixation
930.3649999201298,40,925.5831298828125,362.201416015625,945.442626953125,362.5097351074219,874.0593302408854,362.9472595214844,938.1048583984375,362.0895690917969,938.1048583984375,362.0895690917969,533,fixation
962.1399994939566,40,928.690185546875,361.9754333496094,889.8369750976562,363.1346130371094,874.0593302408854,362.9472595214844,937.9993286132812,362.0984802246094,937.9993286132812,362.0984802246094,567,fixation
974.2700010538101,40,928.690185546875,361.9754333496094,889.8369750976562,363.1346130371094,874.0593302408854,362.9472595214844,937.9993286132812,362.0984802246094,937.9993286132812,362.0984802246094,567,fixation
998.4949994832277,40,907.7042236328125,362.2889099121094,856.8878173828125,363.4302673339844,874.0593302408854,362.9472595214844,937.3206176757812,362.1136474609375,937.3206176757812,362.1136474609375,600,fixation
1036.5750007331371,40,891.638916015625,362.5296325683594,830.705322265625,363.686767578125,874.0593302408854,362.9472595214844,935.9826049804688,362.13604736328125,935.9826049804688,362.13604736328125,633,fixation
1077.4499997496605,40,880.6925659179688,363.103515625,874.5068969726562,363.2626037597656,874.0593302408854,362.9472595214844,934.3446044921875,362.164306640625,934.3446044921875,362.164306640625,667,fixation
1091.269999742508,40,880.6925659179688,363.103515625,874.5068969726562,363.2626037597656,874.0593302408854,362.9472595214844,934.3446044921875,362.164306640625,934.3446044921875,362.164306640625,667,fixation
1109.6700001507998,40,862.3804321289062,363.3816223144531,830.731689453125,363.7616882324219,874.0593302408854,362.9472595214844,932.1923217773438,362.2004089355469,932.1923217773438,362.2004089355469,717,fixation
1124.3150010704994,40,862.3804321289062,363.3816223144531,830.731689453125,363.7616882324219,874.0593302408854,362.9472595214844,932.1923217773438,362.2004089355469,932.1923217773438,362.2004089355469,717,fixation
1160.1950004696846,40,869.972412109375,363.08306884765625,795.7461547851562,364.15216064453125,874.0593302408854,362.9472595214844,929.5525512695312,362.24237060546875,929.5525512695312,362.24237060546875,750,fixation
1174.3000000715256,40,869.972412109375,363.08306884765625,795.7461547851562,364.15216064453125,874.0593302408854,362.9472595214844,929.5525512695312,362.24237060546875,929.5525512695312,362.24237060546875,750,fixation
1211.4599999040365,40,876.8907470703125,362.8654479980469,821.161865234375,363.78118896484375,874.0593302408854,362.9472595214844,926.7373046875,362.2852478027344,926.7373046875,362.2852478027344,800,fixation
1224.4250010699034,40,876.8907470703125,362.8654479980469,821.161865234375,363.78118896484375,874.0593302408854,362.9472595214844,926.7373046875,362.2852478027344,926.7373046875,362.2852478027344,800,fixation
1255.0750002264977,40,899.9689331054688,362.7436828613281,855.1632080078125,363.4548034667969,874.0593302408854,362.9472595214844,924.09423828125,362.3260192871094,924.09423828125,362.3260192871094,850,fixation
1293.9750012010336,40,933.5792846679688,362.107666015625,870.912353515625,363.2863464355469,874.0593302408854,362.9472595214844,921.845703125,362.3609924316406,921.845703125,362.3609924316406,883,fixation
1307.3100000619888,40,933.5792846679688,362.107666015625,870.912353515625,363.2863464355469,874.0593302408854,362.9472595214844,921.845703125,362.3609924316406,921.845703125,362.3609924316406,883,fixation
1329.3099999427795,40,932.8232421875,362.0397033691406,876.9786376953125,363.2072448730469,874.0593302408854,362.9472595214844,919.9664306640625,362.39019775390625,919.9664306640625,362.39019775390625,933,fixation
1341.4000011980534,40,932.8232421875,362.0397033691406,876.9786376953125,363.2072448730469,874.0593302408854,362.9472595214844,919.9664306640625,362.39019775390625,919.9664306640625,362.39019775390625,933,fixation
1371.2499998509884,40,949.967529296875,361.7558898925781,905.9605712890625,362.7428283691406,874.0593302408854,362.9472595214844,918.59130859375,362.4114074707031,918.59130859375,362.4114074707031,967,fixation
1410.5750005692244,40,928.6001586914062,362.0429992675781,907.650634765625,362.6574401855469,874.0593302408854,362.9472595214844,917.5567626953125,362.42681884765625,917.5567626953125,362.42681884765625,1000,fixation
1424.244999885559,40,928.6001586914062,362.0429992675781,907.650634765625,362.6574401855469,874.0593302408854,362.9472595214844,917.5567626953125,362.42681884765625,917.5567626953125,362.42681884765625,1000,fixation
1442.1650003641844,40,909.7453002929688,362.3074951171875,829.1024780273438,363.4583435058594,874.0593302408854,362.9472595214844,916.4390258789062,362.44146728515625,916.4390258789062,362.44146728515625,1050,fixation
1457.4999995529652,40,909.7453002929688,362.3074951171875,829.1024780273438,363.4583435058594,874.0593302408854,362.9472595214844,916.4390258789062,362.44146728515625,916.4390258789062,362.44146728515625,1050,fixation
1490.7550010830164,40,901.3642578125,362.35467529296875,866.1101684570312,362.9996337890625,874.0593302408854,362.9472595214844,915.3694458007812,362.4538879394531,915.3694458007812,362.4538879394531,1083,fixation
1522.4450007081032,40,892.811767578125,362.40777587890625,860.5267944335938,363.017333984375,874.0593302408854,362.9472595214844,914.2997436523438,362.4646911621094,914.2997436523438,362.4646911621094,1117,fixation
1561.2199995666742,40,867.744384765625,362.8616027832031,819.7393798828125,363.5379333496094,874.0593302408854,362.9472595214844,913.0169677734375,362.4774475097656,913.0169677734375,362.4774475097656,1150,fixation
1574.2600001394749,40,867.744384765625,362.8616027832031,819.7393798828125,363.5379333496094,874.0593302408854,362.9472595214844,913.0169677734375,362.4774475097656,913.0169677734375,362.4774475097656,1150,fixation
